customer_id,customer_name,segment,first_order_date,last_order_date,number_of_orders,total_sales_lifetime,average_order_value,customer_age_days,first_order_year,last_order_year,ltv_category,order_frequency_category
TC-20980,Tamara Chand,Consumer,2016-11-07,2018-11-26,5,56368.01,1761.5,749,2016.0,2018.0,VIP,Периодический
RB-19360,Raymond Buch,Consumer,2018-04-01,2019-09-25,6,44764.36,1065.82,542,2018.0,2019.0,VIP,Периодический
TA-21385,Tom Ashbrook,Consumer,2016-09-12,2019-10-22,4,43729.46,1507.91,1135,2016.0,2019.0,VIP,Редкий
SC-20095,Sanjit Chand,Consumer,2016-02-12,2019-01-15,9,39919.17,725.8,1068,2016.0,2019.0,VIP,Периодический
AB-10105,Adrian Barton,Consumer,2016-12-20,2019-11-19,10,39124.49,954.26,1064,2016.0,2019.0,VIP,Регулярный
HL-15040,Hunter Lopez,Consumer,2016-01-20,2019-11-17,6,36282.04,1577.48,1397,2016.0,2019.0,VIP,Периодический
BM-11140,Becky Martin,Consumer,2016-09-08,2019-02-26,4,33785.39,913.12,901,2016.0,2019.0,VIP,Редкий
CC-12370,Christopher Conant,Consumer,2018-05-23,2019-11-17,5,33613.75,1084.31,543,2018.0,2019.0,VIP,Периодический
KL-16645,Ken Lonsdale,Consumer,2016-07-25,2019-11-13,12,31760.66,467.07,1206,2016.0,2019.0,VIP,Регулярный
SV-20365,Seth Vernon,Consumer,2016-01-11,2019-09-20,10,31739.48,396.74,1348,2016.0,2019.0,VIP,Регулярный
KF-16285,Karen Ferguson,Consumer,2016-09-26,2019-09-24,7,29715.01,582.65,1093,2016.0,2019.0,VIP,Периодический
SM-20320,Sean Miller,Consumer,2016-03-18,2019-10-12,5,28205.62,705.14,1303,2016.0,2019.0,VIP,Периодический
JD-16150,Justin Deggeller,Consumer,2016-11-16,2019-11-19,8,27612.17,575.25,1098,2016.0,2019.0,VIP,Периодический
NF-18385,Natalie Fritzler,Consumer,2016-02-11,2019-10-12,7,27236.67,716.75,1339,2016.0,2019.0,VIP,Периодический
ME-17320,Maria Etezadi,Consumer,2016-01-06,2019-11-18,10,27042.62,436.17,1412,2016.0,2019.0,VIP,Регулярный
CM-12385,Christopher Martinez,Consumer,2017-03-16,2019-11-23,4,26846.48,958.8,982,2017.0,2019.0,VIP,Редкий
CJ-12010,Caroline Jumper,Consumer,2018-03-10,2019-06-24,8,26701.36,568.11,471,2018.0,2019.0,VIP,Периодический
BM-11650,Brian Moss,Consumer,2016-07-09,2019-11-27,11,26196.47,301.11,1236,2016.0,2019.0,VIP,Регулярный
TS-21370,Todd Sumrall,Consumer,2016-10-28,2019-11-24,6,25052.79,626.32,1122,2016.0,2019.0,VIP,Периодический
HW-14935,Helen Wasserman,Consumer,2017-09-27,2019-09-04,8,24802.93,459.31,707,2017.0,2019.0,VIP,Периодический
GT-14710,Greg Tran,Consumer,2016-05-23,2019-11-24,11,24457.24,349.39,1280,2016.0,2019.0,VIP,Регулярный
CL-12565,Clay Ludtke,Consumer,2016-03-04,2019-03-21,12,24393.33,369.6,1112,2016.0,2019.0,VIP,Регулярный
DR-12940,Daniel Raglin,Consumer,2016-03-28,2019-11-10,8,24376.15,716.95,1322,2016.0,2019.0,VIP,Периодический
EH-13765,Edward Hooks,Consumer,2016-04-12,2019-08-17,12,24052.46,308.36,1222,2016.0,2019.0,VIP,Регулярный
LA-16780,Laura Armstrong,Consumer,2016-04-29,2019-07-29,11,23951.14,362.9,1186,2016.0,2019.0,VIP,Регулярный
PF-19120,Peter Fuller,Consumer,2016-05-05,2017-09-17,4,23512.53,534.38,500,2016.0,2017.0,VIP,Редкий
JW-15220,Jane Waco,Consumer,2017-04-30,2019-11-18,6,22841.4,652.61,932,2017.0,2019.0,VIP,Периодический
JM-15865,John Murray,Consumer,2016-11-19,2019-09-12,7,22732.08,631.45,1027,2016.0,2019.0,VIP,Периодический
JD-15895,Jonathan Doherty,Consumer,2016-03-26,2018-12-01,11,22698.45,257.94,980,2016.0,2018.0,VIP,Регулярный
JE-15610,Jim Epp,Consumer,2016-10-14,2019-11-12,7,22178.41,418.46,1124,2016.0,2019.0,VIP,Периодический
JE-15715,Joe Elijah,Consumer,2016-08-25,2019-11-14,10,22152.92,395.59,1176,2016.0,2019.0,VIP,Регулярный
PP-18955,Paul Prost,Consumer,2016-08-26,2019-09-24,10,21854.3,218.54,1124,2016.0,2019.0,VIP,Регулярный
JH-15985,Joseph Holt,Consumer,2016-08-09,2019-12-01,6,21416.1,611.89,1209,2016.0,2019.0,VIP,Периодический
KM-16375,Katherine Murray,Consumer,2016-07-20,2019-11-04,8,21395.56,368.89,1202,2016.0,2019.0,VIP,Периодический
